OrderDetailID,OrderID,ProductID,Discount,Quantity
1,13647632,39,0.5,3
2,24869686,50,,7
3,24939443,72,,3
4,12942451,81,0.5,2
5,12942451,58,0.5,2
6,23848439,27,,3
7,23848439,58,,4
8,25433855,20,0.1,1
9,25433855,60,,3
10,25433855,30,0.1,4
11,14546695,8,0.6,6
12,14546695,2,0.5,5
13,25158390,64,,3
14,25158390,1,,2
15,24359424,89,0.6,2
16,21466305,61,,1
17,21466305,44,,2
18,24359424,81,,5
19,21138719,50,,3
20,25040255,70,0.5,2
21,24976144,17,,5
22,21460199,22,0.1,5
23,21460199,37,,5
24,21460199,88,,2
25,21460199,73,,2
26,15340302,20,0.5,3
27,15340302,49,0.5,4
28,15340302,8,0.5,2
29,15340302,37,0.5,2
30,15951216,11,0.5,5
31,21043483,81,,11
32,21043483,2,,3
33,21043483,79,,6
34,23661686,23,0.1,1
35,23661686,39,,2
36,23661686,70,,5
37,23661686,78,,2
38,23661686,91,,2
39,11373680,2,0.5,3
40,24174897,38,,8
41,24825230,22,0.5,1
42,23666932,81,,3
43,23666932,12,0.4,3
44,21690587,38,,3
45,21122594,22,,2
46,23229667,49,,2
47,25497239,73,,2
48,23906248,64,,2
49,23906248,23,,5
50,25497239,50,,1
51,25497239,59,0.4,7
52,12413417,5,0.6,1
53,12413417,82,0.6,3
54,12413417,40,,4
55,12413417,62,,5
56,12413417,93,,3
57,25158376,58,,1
58,24880899,25,,7
59,23746760,43,,1
60,23746760,31,,10
61,23940520,25,,1
62,23940520,91,,4
63,23429709,30,,3
64,23940520,44,,3
65,14233239,11,0.5,3
66,14728742,58,0.1,1
67,25460465,75,,3
68,22205486,48,,3
69,22205486,27,,2
70,14488946,63,0.1,2
71,14488946,86,,1
72,22734651,38,,2
73,23642330,44,0.1,2
74,21640672,40,0.5,1
75,21640672,49,0.5,1
76,21640672,7,0.5,8
77,11877466,70,0.5,5
78,22511634,68,,1
79,11877466,86,0.5,2
80,11877466,80,0.65,6
81,11877466,73,0.65,3
82,22511634,31,0.1,1
83,23188488,87,,2
84,23188488,64,0.2,4
85,23188488,9,,1
86,23188488,85,,4
87,15645183,42,0.5,6
88,23354251,50,0.1,3
89,22367994,77,,4
90,22367994,73,,4
91,22367994,19,0.15,2
92,22857462,5,,3
93,22608306,31,,6
94,24342226,92,,5
95,24342226,77,,7
96,25389664,54,0.2,3
97,25389664,13,0.5,4
98,25389664,55,0.5,3
99,22722980,51,,3
100,22722980,35,,2
101,22722980,69,,3
102,22722980,55,,3
103,22722980,90,0.1,4
104,11181278,56,0.5,5
105,11181278,1,0.6,4
106,23818297,81,,2
107,24744800,23,,4
108,23818297,4,,1
109,24744800,31,0.15,2
110,24632225,55,,2
111,24632225,17,,1
112,22543443,45,,1
113,22543443,50,0.1,1
114,11044550,71,0.5,4
115,11044550,69,0.7,3
116,13264984,10,0.2,2
117,13264984,30,,3
118,11978668,81,0.1,11
119,11978668,18,0.1,1
120,11978668,45,,6
121,11978668,34,0.15,2
122,25987802,70,,5
123,25987802,32,,7
124,25118812,60,,4
125,25118812,36,0.15,3
126,21720401,34,,3
127,13284965,73,,2
128,13284965,70,,3
129,24052630,90,0.5,4
130,24052630,11,,3
131,24052630,5,0.4,1
132,24052630,35,0.4,1
133,24187064,22,,2
134,23353574,85,,2
135,23353574,64,,3
136,23353574,69,,5
137,23353574,92,,2
138,23353574,24,0.4,3
139,14664416,24,0.5,3
140,12889545,87,0.6,2
141,22377967,92,,5
142,22377967,5,,6
143,22377967,37,,2
144,13203475,37,0.2,6
145,13203475,35,0.5,3
146,21416586,87,,12
147,21416586,64,0.1,2
148,21416586,22,,1
149,23893444,74,0.2,8
150,23893444,83,0.2,3
151,23893444,16,0.2,3
152,23227800,86,,2
153,22010166,15,0.1,2
154,21705541,51,,3
155,21705541,89,,5
156,21705541,35,,4
157,21705541,77,,3
158,21517387,92,,4
159,21708225,85,,3
160,24410046,18,,2
161,22535754,8,,7
162,23832823,87,,3
163,23832823,27,,2
164,23832823,43,0.1,5
165,23832823,30,,1
166,22711513,72,,3
167,23468356,60,0.5,2
168,24509445,27,,2
169,21001989,3,0.1,9
170,24993136,26,,3
171,23979558,30,,4
172,23979558,14,,2
173,22933675,40,,4
174,23739047,76,,3
175,23739047,80,,6
176,24699764,17,0.1,6
177,24699764,61,0.1,2
178,23003511,59,0.1,1
179,24753236,34,,3
180,11765076,15,0.1,3
181,11765076,45,0.1,1
182,11765076,7,0.1,2
183,11765076,73,0.1,4
184,11765076,14,0.1,2
185,22587200,29,,2
186,25099069,44,,3
187,25099069,56,0.1,5
188,25522951,15,,3
189,21436413,78,0.1,4
190,23158300,45,,2
191,23528133,51,,7
192,23528133,75,,3
193,23528133,34,0.4,2
194,25083176,58,,2
195,21637634,40,,3
196,21637634,67,,3
197,14381191,65,0.5,5
198,23948308,46,,3
199,23948308,67,,2
200,25263174,6,,7
201,25263174,79,,4
202,25504927,59,,9
203,25504927,90,,5
204,25504927,89,0.1,2
205,25504927,4,0.15,2
206,23679996,24,,5
207,25879155,18,,3
208,22140658,23,0.5,2
209,22140658,41,0.5,1
210,12306373,23,0.5,3
211,12306373,31,0.5,1
212,22266801,76,0.1,3
213,15078476,44,,3
214,24814310,14,,5
215,14692210,71,0.5,3
216,14692210,16,0.6,4
217,25610862,21,,4
218,25610862,17,,2
219,25610862,80,,1
220,13424830,11,0.5,2
221,25861038,59,0.1,5
222,25861038,59,0.1,5
223,25861038,27,,2
224,25861038,89,,3
225,23721082,75,,2
226,25287434,90,,6
227,23721082,86,,2
228,25287434,9,,3
229,25287434,10,,2
230,15233011,64,0.6,2
231,24237527,61,,3
232,24237527,33,,6
233,24237527,3,,3
234,13468929,31,0.4,6
235,25430994,72,0.1,4
236,23072555,16,,5
237,24146320,11,,2
238,24146320,25,,3
239,25185093,89,0.1,7
240,25185093,45,,10
241,21444426,57,,7
242,21386961,31,,2
243,21386961,9,,2
244,25244045,92,0.1,7
245,25244045,9,,9
246,25244045,32,,2
247,25244045,56,0.1,8
248,25244045,71,0.1,3
249,24472015,50,,4
250,24472015,33,,3
251,11716540,9,0.5,8
252,11716540,54,0.5,2
253,23192576,87,,5
254,23192576,24,,2
255,23192576,12,,9
256,23192576,82,,3
257,23192576,83,,2
258,23376060,8,,7
259,12419493,50,0.5,2
260,24864498,53,0.2,1
261,24864498,93,,3
262,24864498,64,,4
263,24864498,47,,2
264,24864498,25,,2
265,25680692,23,0.1,5
266,22266607,79,,7
267,22266607,13,,2
268,21525428,83,,2
269,12779559,38,0.5,2
270,22835499,17,,3
271,22835499,8,,2
272,22835499,65,,2
273,22835499,36,,5
274,22835499,64,0.4,4
275,22835499,8,0.4,4
276,22835499,69,,12
277,25178055,47,,5
278,25178055,55,,6
279,25178055,66,0.1,2
280,25178055,37,,5
281,15063480,24,0.15,9
282,25498995,24,,1
283,22696233,75,,3
284,21520567,30,0.1,3
285,25707696,28,,3
286,25707696,29,,3
287,25707696,26,,4
288,25707696,52,,5
289,11904026,50,0.5,7
290,21443340,5,,6
291,21443340,47,0.1,4
292,24240706,14,,2
293,24240706,67,0.15,5
294,12459755,19,0.5,3
295,12185983,24,0.15,11
296,24016076,85,,6
297,25090278,6,,4
298,12852736,12,0.6,2
299,22729747,63,,5
300,12075149,66,0.5,5
301,22729747,24,,4
302,24852530,63,0.1,4
303,24852530,46,0.1,7
304,13896198,52,,5
305,13896198,40,,9
306,24852530,6,,1
307,13896198,78,,2
308,24852530,44,,3
309,24852530,16,0.1,5
310,22813459,77,,1
311,25957871,79,,1
312,25957871,39,,3
313,22755002,77,0.1,4
314,24920475,40,,3
315,22776937,69,,3
316,22994694,22,,2
317,21140474,36,,2
318,22111237,3,0.1,5
319,24549921,25,,2
320,22132896,82,0.1,3
321,22132896,7,,2
322,22132896,68,,7
323,23431770,11,,2
324,23431770,86,,2
325,25158527,58,,4
326,25158527,58,,1
327,23249098,55,0.1,5
328,22087362,46,,5
329,22087362,55,,3
330,25276461,36,0.1,3
331,25276461,71,,2
332,25276461,10,,3
333,25793145,34,,2
334,25793145,14,,4
335,12558119,26,,6
336,12558119,3,,4
337,12558119,62,,3
338,12558119,88,,3
339,12558119,26,,2
340,12558119,7,0.1,3
341,25867278,47,,3
342,23403155,48,,2
343,23403155,44,0.1,2
344,13053644,64,0.5,7
345,15643162,59,0.5,3
346,12204228,85,0.5,2
347,11460998,56,0.1,2
348,12660642,84,0.5,3
349,12660642,66,0.5,4
350,12660642,43,0.5,6
351,24021337,80,0.3,3
352,24021337,68,,8
353,23793897,17,,3
354,23793897,35,0.15,3
355,23793897,70,0.15,1
356,14599620,82,0.5,2
357,14599620,87,0.5,2
358,14599620,90,0.5,5
359,14599620,15,0.5,4
360,14599620,51,0.5,4
361,14599620,3,0.5,3
362,14599620,52,0.5,2
363,11939979,64,0.35,2
364,23051209,49,0.5,4
365,21589842,72,,2
366,21589842,83,,4
367,23814733,24,,3
368,23933819,60,0.15,3
369,13667641,28,0.5,3
370,25953080,94,,3
371,25953080,34,,2
372,25953080,64,0.4,2
373,22210233,73,,11
374,22210233,68,,5
375,22942755,20,0.1,3
376,24932761,2,,6
377,24932761,71,,2
378,24932761,22,,7
379,15001014,59,0.4,3
380,24517621,3,,4
381,23321216,5,,9
382,23321216,88,,8
383,23321216,9,,1
384,11521406,64,0.5,6
385,11521406,58,0.5,2
386,11521406,10,0.5,2
387,22333773,82,,4
388,22333773,17,,7
389,11780558,11,,1
390,11780558,87,,2
391,11780558,70,0.4,3
392,11780558,64,,6
393,11780558,39,0.4,6
394,23366039,6,,3
395,23517120,85,,2
396,23517120,81,,14
397,23517120,47,,6
398,25540627,62,0.1,4
399,25540627,75,0.1,8
400,25540627,89,0.1,5
